iso3,name,lat,lng,usage_pct,usage_per_capita_index,use_case_work_pct,use_case_personal_pct,use_case_coursework_pct,collaboration_bucket_automation_pct,collaboration_bucket_augmentation_pct,ai_autonomy_mean,multitasking_pct,working_age_pop,gdp_2024,top_topic,top_topic_pct
AGO,Angola,-12.167424062667942,17.651768783079,0.05,0.1,37.46,34.02,28.51,54.54,45.46,2.9,20.17,20002446.0,115946000000.0,Content Creation & Copywriting,31.47
ALB,Albania,41.14165894891656,20.061082767269493,0.04,1.02,42.01,37.02,20.97,48.41,51.59,2.79,22.91,1798066.0,27259000000.0,Content Creation & Copywriting,23.67
ARE,United Arab Emirates,24.18250292309135,54.27920525789581,0.61,2.84,54.63,36.28,9.09,50.28,49.72,2.82,24.75,8932401.0,537078999999.99994,Content Creation & Copywriting,24.82
ARG,Argentina,-35.697270518120085,-64.53238503843076,1.05,1.48,46.87,33.81,19.32,47.87,52.13,2.77,23.49,30150350.0,632145000000.0,Content Creation & Copywriting,21.63
ARM,Armenia,40.17841274230679,45.05490831965259,0.05,0.95,46.18,39.74,14.08,48.0,52.0,2.71,19.76,2034270.0,25533000000.0,Content Creation & Copywriting,22.84
AUS,Australia,-25.697337673983082,134.02277170916162,2.65,6.4,42.67,36.64,20.69,45.5,54.5,2.72,25.95,17527551.0,1796805000000.0,Content Creation & Copywriting,23.53
AUT,Austria,47.631858269895794,13.797778364631036,0.37,2.61,37.2,44.62,18.17,45.94,54.06,2.68,22.0,5981212.0,521269000000.0,Content Creation & Copywriting,20.83
AZE,Azerbaijan,40.3920509942049,48.634592670644324,0.07,0.43,36.25,44.87,18.88,48.58,51.42,2.67,20.22,7104510.0,74316000000.0,Content Creation & Copywriting,19.07
BEL,Belgium,50.6182138854095,4.675010154696485,0.68,3.8,32.84,38.9,28.26,42.7,57.3,2.67,23.07,7535358.0,664965000000.0,Content Creation & Copywriting,21.94
BEN,Benin,9.503013199615893,2.305714528830206,0.07,0.39,39.95,33.02,27.03,47.37,52.63,2.81,24.58,8002133.0,21249000000.0,Content Creation & Copywriting,34.25
BFA,Burkina Faso,12.108709036312737,-1.6932816211842325,0.05,0.15,30.98,30.26,38.76,52.6,47.4,2.84,19.59,13080453.0,23975000000.0,Education & Learning,28.4
BGD,Bangladesh,23.673728665121,90.43212562608613,0.31,0.11,36.45,36.48,27.07,50.75,49.25,2.75,17.69,113705228.0,451096000000.0,Content Creation & Copywriting,24.65
BGR,Bulgaria,42.82043677302438,25.251739122561908,0.13,1.36,46.14,43.2,10.66,48.61,51.39,2.69,22.78,4091863.0,112232000000.0,Content Creation & Copywriting,20.4
BHR,Bahrain,26.04798501537066,50.540695402276775,0.04,1.5,39.06,35.83,25.11,47.5,52.5,2.75,22.9,1230105.0,46943000000.0,Content Creation & Copywriting,21.69
BIH,Bosnia and Herzegovina,44.14415356126429,17.83467240787538,0.03,0.61,43.38,41.71,14.91,50.91,49.09,2.68,20.85,2048283.0,28795000000.0,Content Creation & Copywriting,22.98
BOL,Bolivia,-16.7312488393574,-64.45209597511206,0.11,0.56,33.71,23.02,43.26,51.56,48.44,2.86,17.76,8015521.0,48404000000.0,Education & Learning,25.69
BRA,Brazil,-11.524630416426652,-54.355206608256424,3.33,0.96,57.35,31.12,11.52,51.18,48.82,2.84,19.79,146884644.0,2171337000000.0,Content Creation & Copywriting,27.98
BWA,Botswana,-22.236609002062902,23.85779956995608,0.02,0.52,35.48,27.19,37.33,51.52,48.48,2.93,23.36,1609356.0,19356000000.0,Education & Learning,27.68
CAN,Canada,57.550480044655636,-98.41680517868062,2.63,4.13,42.11,49.64,8.25,47.33,52.67,2.7,26.07,26874373.0,2241253000000.0,Content Creation & Copywriting,20.99
CHE,Switzerland,46.73678128684938,8.286928794895285,0.7,5.02,38.78,43.92,17.3,44.15,55.85,2.68,23.25,5874889.0,936738000000.0,Content Creation & Copywriting,22.28
CHL,Chile,-37.82938283049967,-70.76863431739216,0.59,1.84,47.89,30.38,21.73,48.82,51.18,2.82,21.15,13617680.0,330210000000.0,Content Creation & Copywriting,22.18
CIV,Ivory Coast,7.536779279421307,-5.571710194917734,0.13,0.3,40.62,31.81,27.57,52.94,47.06,2.83,21.23,18049122.0,87096000000.0,Content Creation & Copywriting,30.84
CMR,Cameroon,6.294168487480992,12.948474142398263,0.15,0.38,32.4,26.5,41.1,55.19,44.81,2.86,21.62,16240266.0,52784000000.0,Content Creation & Copywriting,30.06
COG,Republic of the Congo,-0.7294391595233845,14.879732849491393,0.02,0.24,33.77,34.85,31.38,53.34,46.66,2.84,22.75,3582468.0,14893000000.0,Content Creation & Copywriting,26.52
